folder,markdown_count
Python/Projects/Medium/Classification,5
Interview Question/Leet Code (SQL)/Chapter 4/4.2 CASE Statements & Conditional Logic,5
SOPs of Power BI/4. Report Design & UX Standards SOP/4.4 Filter & Slicer Standards,5
Python/Interview Question/Stratascratch (Python)/Easy/Wine Magazine,5
Python/Interview Question/Stratascratch (Python)/Hard/City of Los Angeles,5
"Interview Question/StrataScratch/Ranking, Ordering & Top N/N-th Highest Value",5
Projects/Data Engineering Projects/Projects/Binaryville/4. Silver Layer Implementation,5
Projects/To-Do/Kotlin Google Developers/Unit 5- Connect to Internet/Get and display data from the internet,5
Projects/Data Engineering Projects/Projects/Binaryville/2. Project Setup/Load Customer Data into Azure Data Lake Storage (ADLS),5
Projects/To-Do/Kotlin Google Developers/Unit 1- Kotlin Basics/Intro to Debugging/Types of Log Levels,5
Power BI Interview Files/Power BI Interview Questions/Power BI Interview Questions/Accenture,5
Projects/Certifications/Purchase/Customer Relationship Management,5
Projects/To-Do/Kotlin Google Developers/Unit 4- Adaptive Layouts/Adaptive Layout/Untitled,5
Python/Algorithm Problems/Amazon/Hard,5
Interview Question/StrataScratch/Advanced Scenarios & Complex Logic/Sequential Analysis (Streaks & Consecutive Events),4
"Interview Question/StrataScratch/Joins, Subqueries & Set Logic/Self Joins",4
Python/Interview Question/Stratascratch (Python)/Hard/LinkedIn,4
Python/Interview Question/Stratascratch (Python)/Medium/Apple,4
Interview Question/Leet Code (SQL)/Chapter 1/1.3 NULL Handling & Basic Conditions,4
Template,4
VST Tillers Training Session/Untitled,4
SQL Interview Prep/2. LinkedIn Interview Questions,4
SQL Interview Prep/07-07-2025/Deloitte,4
Python/Interview Question/Stratascratch (Python)/Medium/Deloitte,4
Python/Interview Question/Stratascratch (Python)/Medium/Tesla,4
SOPs of Power BI/2. Data Modeling Standards SOP/2.5 Calculated Columns vs Measures Policy,4
SOPs of Power BI/1. Data Source Connectivity & Governance SOP/1.4 Gateway Configuration & Management,4
Interview Question/Leet Code (SQL)/Chapter 2/2.2 GROUP BY with SUM,4
Interview Question/Leet Code (SQL)/Chapter 3/3.1 Basic INNER JOIN,4
Python/Projects/Hard/Classification,4
Python/Projects/Easy/Data Exploration,4
Python/Interview Question/Stratascratch (Python)/Medium/Walmart,4
Python/Interview Question/Stratascratch (Python)/Medium/LinkedIn,4
Interview Question/Leet Code (SQL)/Chapter 4/4.3 String Manipulation & Formatting,4
Interview Question/StrataScratch/String Manipulation & Pattern Matching/Pattern Matching (LIKE),4
Projects/Certifications/Learnings/Data Analysis in R with RStudio & Tidyverse,4
Power BI Interview Files/Power BI Interview Questions/Power BI Interview Questions/Deloitte,4
Power BI Interview Files/Power BI Interview Questions/Power BI Interview Questions/Capgemini,4
Python/Interview Question/Stratascratch (Python)/Easy/Lyft,4
Python/Interview Question/Stratascratch (Python)/Hard/Amazon,4
Interview Question/StrataScratch/String Manipulation & Pattern Matching/String Cleaning & Positioning,4
Projects/Stats Roadmap/Hypothesis Testing,4
Projects/Stats Roadmap/Time Series Analysis,4
"Projects/To-Do/Kotlin Google Developers/Unit 6- Data Persistence/Introduction to SQL, Room and Flow/Use Room For Data Persistance/Preferences DataStore/Untitled",4
Projects/To-Do/Kotlin Google Developers/Unit 2- Get User Input Part I/Get User Input in an App -Part 2/Display a Scrollable List,4
Projects/To-Do/Kotlin Google Developers/Unit 3- Navigation/Advanced App Layout Navigation,4
Projects/To-Do/Tata Data Visualization Internship,4
Projects/To-Do/Kotlin Google Developers/Unit 2- Get User Input Part I/Get user Input in an App- Part 1,4
Projects/Stats Roadmap/Descriptive Statistics,4
Projects/Stats Roadmap/Correlation & Regression,4
Projects/Stats Roadmap/Advanced Topics,4
Projects/Forage Documentation/Standard Bank,4
Projects/Data Engineering Projects/Projects,4
Projects/Stats Roadmap/Probability Basics,4
SQL Interview Prep/Topics/System Design for SQL (Basic),4
Projects/Data Engineering Projects/Projects/Binaryville/3. Bronze Layer Implementation/Create a Pipeline to Load Customer Data,4
Projects/Data Engineering Projects/Projects/Binaryville/3. Bronze Layer Implementation,4
Projects/Forage Documentation/Accenture Forage Internship,4
Projects/Data Engineering Projects/Projects/Binaryville/5. Golden Layer Implementation,4
SQL Interview Prep/Topics/Aggregate Functions & Grouping/The Most Important Functions in SQL,4
SQL Interview Prep/Topics/Joins & Relationships/Joins - Relationship,4
SQL Interview Prep/Topics/Subqueries & CTEs/SubQueries,4
SQL Interview Prep/Topics/Advanced SQL Concepts & Optimization/Advanced Topics,4
Fabric Project/Projects/New folder,4
SQL Interview Prep/Interview Experience,4
Assets,4
Analyze/Me/Letters To Ani/Looking Forward With Her,4
SOPs of Power BI/3. DAX Development Standards SOP/3.2 DAX Code Formatting Standards,3
Python/Projects/Hard/Regression,3
Python/Interview Question/Stratascratch (Python)/Medium/Shopify,3
Projects/Stats Roadmap/Bayesian,3
Interview Question/Leet Code (SQL)/Chapter 2/2.4 GROUP BY With MAX,3
Projects/Stats Roadmap/Introduction,3
Projects/Stats Roadmap/Multivariate Statistics,3
Projects/Stats Roadmap/Non Parametric,3
Projects/Stats Roadmap/Experimental Design,3
Interview Question/Leet Code (SQL)/Chapter 2/2.3 GROUP BY with AVG,3
Interview Question/Leet Code (SQL)/Chapter 13/13.6,3
Python/Projects/Easy/Data Engineering,3
Python/Interview Question/Stratascratch (Python)/Easy/Oracle,3
Power BI Interview Files/Power BI Interview Questions/Power BI Interview Questions/TCS,3
Python/Algorithm Problems/Meta/Hard,3
Python/Interview Question/Stratascratch (Python)/Easy/Asana,3
Python/Interview Question/Stratascratch (Python)/Easy/Bosch,3
Interview Question/StrataScratch/String Manipulation & Pattern Matching/Substring Extraction & Concatenation,3
Power BI Interview Files/Power BI Interview Questions/Power BI Interview Questions/EY,3
Power BI Interview Files/Power BI Interview Questions/Power BI Interview Questions/Amazon,3
Projects/To-Do/Kotlin Google Developers/Unit 7- Work Manager,3
"Projects/To-Do/Kotlin Google Developers/Unit 6- Data Persistence/Introduction to SQL, Room and Flow",3
Interview Question/Leet Code (SQL)/Chapter 10/10.7,3
Projects/Stats Roadmap/Random Variables,3
Python/Interview Question/Stratascratch (Python)/Medium/City of Los Angeles,3
Python/Interview Question/Stratascratch (Python)/Medium/Dropbox,3
Python/Interview Question/Stratascratch (Python)/Medium/Ebay,3
Python/Interview Question/Stratascratch (Python)/Medium/General Assembly,3
Projects/To-Do/Kotlin Google Developers/Unit 3- Navigation/Introduction to the Navigation Component,3
Interview Question/StrataScratch/Advanced Scenarios & Complex Logic/Running Calculations (Totals & Averages),3
Projects/Certifications/Purchase,3
Python Roadmap/Functions,3
Python Roadmap/Learn The Basics,3
Python/Algorithm Problems/Amazon/Easy,3
Python/Interview Question/Stratascratch (Python)/Hard/Shopify,3
Projects/Stats Roadmap/Survival Analysis,3
Projects/Stats Roadmap/Statistical Learning,3
Projects/To-Do/Kotlin Google Developers/Unit 4- Adaptive Layouts,3
Interview Question/StrataScratch/Advanced Scenarios & Complex Logic/Pivoting Data (CASE WHEN with Aggregates),3
Python/Algorithm Problems/Google/Medium,3
Python/Interview Question/Stratascratch (Python)/Hard/IBM,3
Python/Interview Question/Stratascratch (Python)/Hard/DoorDash,3
Projects/To-Do/Kotlin Google Developers/Unit 3- Navigation/Architecture Components,3
Projects/To-Do/Kotlin Google Developers/Unit 3- Navigation/Advanced App Layout Navigation/Shared ViewModel Across Fragments/Untitled,3
Clippings,3
Python/Interview Question/Stratascratch (Python)/Easy/Audible,3
Python/Interview Question/Stratascratch (Python)/Easy/Shopify,3
SQL Interview Prep/07-07-2025/Capgemini,3
Power BI Interview Files/Power BI Interview Questions/Power BI Interview Questions/Wipro,3
Python/Projects/Medium/Data Exploration,2
Interview Question/Leet Code (SQL)/Chapter 11/11.6,2
Interview Question/Leet Code (SQL)/Chapter 13/13.2,2
Analyze/Me/How We Met,2
Analyze/Me,2
SQL Interview Prep/3. Medium SQL Questions,2
SOPs of Power BI/2. Data Modeling Standards SOP/2.3 Relationship Management,2
SOPs of Power BI/4. Report Design & UX Standards SOP/4.2 Visual Selection Guidelines,2
SOPs of Power BI/3. DAX Development Standards SOP/3.4 Time Intelligence Patterns,2
SOPs of Power BI/3. DAX Development Standards SOP/3.3 DAX Best Practices,2
Analyze/Me/Letters To Ani,2
Python/Interview Question/Stratascratch (Python)/Medium/Visa,2
Projects/Stats Roadmap/Data Types & Measurement Scales,2
Projects/Stats Roadmap/Data Collection Methods,2
Projects/Stats Roadmap/Confidence Intervals,2
Projects/Stats Roadmap/Categorical Data Analysis,2
Projects/Stats Roadmap/ANOVA,2
Python/Interview Question/Stratascratch (Python)/Medium/Tripadvisor,2
Python/Interview Question/Stratascratch (Python)/Medium/Tiktok,2
Python/Interview Question/Stratascratch (Python)/Medium/Postmates,2
Python/Interview Question/Stratascratch (Python)/Medium/Siemens,2
Projects/Data Engineering Projects/Projects/Binaryville/1. BinaryVille - Project Requirement,2
SOPs of Power BI/1. Data Source Connectivity & Governance SOP/1.5 Data Refresh Configuration,2
Projects/Stats Roadmap/Ethical Consideration,2
Python/Projects/Easy/Regression,2
SOPs of Power BI/1. Data Source Connectivity & Governance SOP/1.2 Connection Method Standards,2
Python/Projects/Medium/Regression,2
Projects/To-Do/Kotlin Google Developers/Unit 3- Navigation,2
Projects/To-Do/Kotlin Google Developers/Unit 1- Kotlin Basics/Introduction to Kotlin,2
Projects/Certifications/Purchase/Advanced Corporate Strategy/Week 4,2
Projects/Certifications/Purchase/Advanced Corporate Strategy/Week 3,2
Projects/Certifications/Purchase/Advanced Corporate Strategy/Week 2,2
Python/Interview Question/Stratascratch (Python)/Medium/Instacart,2
Python/Interview Question/Stratascratch (Python)/Hard/Walmart,2
Python/Interview Question/Stratascratch (Python)/Hard/Yelp,2
Projects/Certifications/Learnings/Introduction to Data Analytics/The Before,2
Python/Interview Question/Stratascratch (Python)/Medium/Microsoft,2
Interview Question/Leet Code (SQL)/Chapter 5/5.2 LAG & LEAD Functions,2
Interview Question/Leet Code (SQL)/Chapter 6/6.1 EXISTS & NOT EXISTS,2
Interview Question/Leet Code (SQL)/Chapter 4/4.1 UPDATE & DELETE Operations,2
Projects/To-Do/Kotlin Google Developers/Unit 3- Navigation/Navigate Between Screens,2
Projects/To-Do/Kotlin Google Developers/Unit 5- Connect to Internet,2
Projects/Stats Roadmap/Sampling Distributions,2
Interview Question/Leet Code (SQL)/Chapter 4/4.4 Date & Time Manipulation,2
Projects/Data Engineering Projects/Item Types/Event Schema Set,2
Projects/Certifications/Purchase/Google Digital Unlocked,2
Projects/Certifications/Purchase/Advanced Corporate Strategy/Week 5,2
Python/Interview Question/Stratascratch (Python)/Medium/Redfin,2
Python/Interview Question/Stratascratch (Python)/Medium/Ring Central,2
Interview Question/StrataScratch/Basic Filtering & Selection/Handling NULLs & Missing Data,2
Python/Interview Question/Stratascratch (Python)/Easy/Visa,2
Python/Interview Question/Stratascratch (Python)/Easy/Twitch,2
Interview Question/StrataScratch/Advanced Scenarios & Complex Logic/Gaps & Islands Puzzles,2
Python Roadmap,2
Python/Algorithm Problems/LinkedIn/Easy,2
Projects/To-Do/Kotlin Google Developers/Unit 5- Connect to Internet/Get and display data from the internet/Load and display images from the internet/Untitled,2
Python/Interview Question/Stratascratch (Python)/Hard/Netflix,2
Python/Interview Question/Stratascratch (Python)/Hard/Ebay,2
Projects/To-Do/Kotlin Google Developers/Unit 5- Connect to Internet/Introduction to Coroutines/Untitled,2
Power BI Interview Files/Power BI Interview Questions/Power BI Interview Questions/KPMG,2
Python/Algorithm Problems/Goldman Sachs/Hard,2
Python/Algorithm Problems/Goldman Sachs/Easy,2
Python/Algorithm Problems/Deloitte/Medium,2
Python/Algorithm Problems/Deloitte/Easy,2
Projects/Certifications/Learnings/Data Analysis in R with RStudio & Tidyverse/Week 2,2
Projects/Certifications/Learnings/Data Analysis in R with RStudio & Tidyverse/Week 1,2
Power BI Interview Files/Power BI Interview Questions/Power BI Interview Questions/Hexaware,2
Power BI Interview Files/Power BI Interview Questions/Power BI Interview Questions/Genpact,2
Power BI Interview Files/Power BI Interview Questions/Power BI Interview Questions/Adobe,2
Python/Interview Question/Stratascratch (Python)/Hard/Airbnb,2
Python/Interview Question/Stratascratch (Python)/Easy/Amadeus,2
Movement/PL 600 - Power Platform,2
Power BI Interview Files/Power BI Interview Questions/Power BI Interview Questions/PWC,2
Movement/PL 300 - Power BI,2
Power BI Interview Files/Power BI Interview Questions/Power BI Interview Questions/Siemens,2
Power BI Interview Files/Power BI Interview Questions/Power BI Interview Questions/Walmart,2
Power BI Interview Files/Power BI Interview Questions/Power BI Interview Questions/Volkswagen,2
Power BI Interview Files/Power BI Interview Questions/Power BI Interview Questions/Tech Mahindra,2
Power BI Interview Files/Power BI Interview Questions/Power BI Interview Questions/Slice,2
Python/Interview Question/Stratascratch (Python)/Easy/American Airlines,2
